SKU,Product_Name,Product_Description,Quantity,Product_Location
124085395,Fexofenadine,Fexofenadine,4073,RU
124499885,Serdaen,Chlorhexidine Diacetate,3817,IL
125299402,Ranitidine,Ranitidine,993,US
126222868,Stool Softener with Laxative,Docusate sodium and Sennosides,2340,ID
128039710,Promethazine Hydrochloride,Promethazine Hydrochloride,1632,IR
128843659,Famotidine,Famotidine,2050,TN
129177703,Naproxen,Naproxen,4485,RU
130774946,Chlorpheniramine maleate,Chlorpheniramine maleate,4940,JP
135477960,Diabetic Tussin DM,Dextromethorphan hydrobromide and Guaifenesin,2461,RU
135977952,Irbesartan and Hydrochlorothiazide,Irbesartan and Hydrochlorothiazide,1277,LY
136000245,Antibacterial Hand Sanitizer,ETHYL ALCOHOL,3780,PT
136387123,Baza Cleanse and Protect,DIMETHICONE,1039,KE
136899088,Glycopyrrolate,Glycopyrrolate,2794,UA
137133231,Hydrocortisone Acetate,HYDROCORTISONE ACETATE,440,CO
138125028,Actos,pioglitazone,3377,RU
138683286,Fenofibric Acid,Fenofibric Acid,1115,FR
138768482,"TERRACOTTA JOLI TEINT BEAUTIFYING FOUNDATION WITH SUNSCREEN SUN-KISSED, HEALTHY GLOW BROAD SPECTRUM SPF 20 LIGHT","OCTINOXATE, TITANIUM DIOXIDE",3343,JP
140705886,NIACIN,NIACIN,4475,CN
141372533,Clopidogrel,Clopidogrel Bisulfate,841,ZA
141745846,TERUFLEX Blood Bag System with Diversion Blood Sampling Arm Anticoagulant Citrate Phosphate Dextrose (CPD) AND OPTISOL (AS-5) Red Cell Preservative,Anticoagulant Citrate Phosphate Dextrose (CPD) AND AS-5 Red Cell Preservative,3384,PH
141787112,NiteTime DayTime,"acetaminophen, dextromethorphan HBr, doxylamine succinate, phenylephrine HCl",2092,CN
142558416,DIANEAL Low Calcium with Dextrose,"sodium chloride, sodium lactate, calcium chloride, magnesium chloride and dextrose",3851,US
143197300,triple antibiotic plus,"Bacitracin, Neomycin, Polymyxin B, Pramoxine HCl",998,CN
144449937,"3-RAGWEED MIX, GIANT/SHORT/WESTERN POLLEN",ambrosia psilostachya pollen and ambrosia trifida pollen and ambrosia artemisiifolia pollen,4492,RU
144943653,Tramadol Hydrochloride,Tramadol Hydrochloride,1114,CN
145062294,Ocean Potion Instant Dry 30 Mist Water Sport Sunscreen,"avobenzone, homosalate, octisalate, octocrylene",3424,CN
145285176,acyclovir,acyclovir,3257,RU
145513909,Nitrogen,Nitrogen,197,RU
148826252,Allergy Relief,Cetirizine Hydrochloride,3473,MT
149675689,Gleevec,imatinib mesylate,1958,BR
150665029,sumatriptan succinate,sumatriptan succinate,767,ID
151373003,TESTOSTERONE ENANTHATE,TESTOSTERONE ENANTHATE,3894,CN
152497564,Nafcillin Sodium,Nafcillin Sodium,2967,ID
153917484,Sensorcaine,BUPIVACAINE HYDROCHLORIDE,1016,FR
155287209,DECAVAC,CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED) and CORYNEBACTERIUM DIPHTHERIAE TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED),853,AR
155470538,CELEBREX,CELECOXIB,4447,TZ
155901704,up and up nicotine polacrilex,Nicotine Polacrilex,1898,ID
156349188,ZAFIRLUKAST,Zafirlukast,589,US
156385722,Childrens Ibuprofen,Ibuprofen,2732,CN
159779971,Ecolab,Chloroxylenol,1032,BR
161022655,Rizatriptan Benzoate,rizatriptan benzoate,4357,CL
161044955,GREEN OLIVE,green olive,1488,HR
163209488,SE 10-5 SS,"SODIUM SULFACETAMIDE, SULFUR",489,ID
163589045,Denavir,penciclovir,104,YE
163987312,MacerRx Web,MICONAZOLE NITRATE,1850,KZ
164556923,Clarithromycin,Clarithromycin,3658,CN
165964277,GAMMAGARD LIQUID,Human Immunoglobulin G,4682,HU
166399590,Acetaminophen And Codeine,acetaminophen and codeine phosphate,4240,ID
169537814,Dermectin Sunscreen,Titanium Dioxide,2273,PH
169949343,Assured,DL-Camphor L-Menthol Methyl Salicylate,1540,NO
170172949,TopCare Nicotine,Nicotine Polacrilex,4263,KZ
170487576,Zodryl AC 25,Chlorpheniramine Maleate and Codeine Phosphate,4242,PT
172280402,PSORIASIS CONTROL,SALICYLIC ACID,3181,CN
172760825,Amlodipine Besylate and Benazepril Hydrochloride,Amlodipine Besylate and Benazepril Hydrochloride,2697,LU
174338848,FENTANYL CITRATE,Fentanyl Citrate,3057,PL
174603817,Male Tonicity,"american ginseng, arnica montana, turnera diffusa leafy twig, herring sperm DNA, galium aparine, hamamelis virginiana root bark/stem bark, pork liver, cervus elaphus horn oil, ovis aries testicle, phosphoric acid, sus scrofa pituitary gland, thuja occidentalis leafy twig, thyroid, unspecified, tribulus terrestris, ginger",4675,PL
176369983,Berry Scented Hand Sanitizer,Benzalkonium Chloride,3958,ID
176439383,Jasmine 3D Whipping Essence,Glycerin,2911,FR
179414222,Synthroid,Levothyroxine Sodium,3441,VE
179921177,Metronidazole,Metronidazole,404,RU
180539031,StaphWash Plus,zinc acetate,3158,CM
181194942,Thuja occidentalis,Thuja occidentalis,2119,CO
182590277,Secret Clinical Advanced,Aluminum Zirconium Trichlorohydrex Gly,729,ET
183003688,Lanoderm,OTC Skin Protectant Drug Products,3410,YE
183082574,AmerFresh,Sodium Monofluorophosphate,1119,CO
183752292,LISINOPRIL,Lisinopril,3042,FR
184164545,Ceftriaxone Sodium,Ceftriaxone Sodium,3663,CN
184581785,furosemide,furosemide,1221,PT
184787324,Haloperidol,Haloperidol,1759,IR
185452289,"ASH MIX, GREEN/WHITE POLLEN",fraxinus americana pollen and fraxinus pennsylvanica pollen,325,NO
185655246,Ferrous Sulfate,Iron,410,HU
185907132,Ibuprofen,Ibuprofen,786,ID
187429579,Allergy Relief,Cetirizine Hydrochloride,4713,IR
190009447,Naratriptan,naratriptan,2775,ID
192411079,Temazepam,Temazepam,4918,CN
193471101,Simvastatin,Simvastatin,4934,UA
194061526,Baclofen,Baclofen,1184,KR
194652566,Oxygen,Oxygen,4802,TN
